iBut,site,side,date_start,n_days,mean_daily_temp,mean_daily_temp_sd,mean_max_temp,mean_max_temp_sd,max_max_temp,mean_min_temp,mean_min_temp_sd,min_min_temp,mean_range,mean_range_sd,Brom_ID,GPS,coordinates,elevation,placement,exposure
T102.csv,RT,Pacific,42622,21,17.37003968,0.318205196,19.19047619,0.558484343,20,16.04761905,0.47182523,15.5,3.142857143,0.808437647,,271,N10› 18.095' W84› 47.656',1532,ambient,partial
T102B.csv,SG,Altantic,42622,21,19.50793651,0.434537399,21.57142857,0.63807747,23,17.88095238,0.650091569,17,3.69047619,0.813575296,,213,N10› 21.844' W84› 47.305',1209,bromeliad,open
T103.csv,RT,Pacific,42622,21,17.32837302,0.305114445,19.35714286,0.808437647,21,16.02380952,0.558484343,15,3.333333333,1.154700538,,263,N10› 18.298' W84› 47.759',1515,bromeliad,partial
T105B.csv,SG,Altantic,42622,21,19.27876984,0.45977407,23.83333333,1.354006401,27,16.76190476,0.604546268,15.5,7.071428571,1.485645603,,218,N10› 21.807' W84› 47.285',1228,ambient,open
T106.csv,EL,Altantic,42622,21,20.76488095,0.440325344,23.30952381,0.993430804,25.5,19,0.894427191,18,4.30952381,1.495628551,,148,N10› 18.519' W84› 42.970',818,ambient,partial
T107.csv,EL,Altantic,42622,21,20.78174603,0.431587984,22.88095238,0.687472943,24.5,19.11904762,0.864649668,18,3.761904762,1.309761883,,148,N10› 18.519' W84› 42.970',818,bromeliad,partial
T107B.csv,SG,Altantic,42622,21,18.74702381,0.284913312,20.26190476,0.604546268,21.5,17.42857143,0.531171213,16.5,2.833333333,0.826639785,,209,N10› 21.832' W84› 47.422',1243,ambient,partial
T109B.csv,SG,Altantic,42622,21,19.39285714,0.316178744,21,0.474341649,22,18.14285714,0.550973165,17,2.857142857,0.72702918,,209,N10› 21.832' W84› 47.422',1243,bromeliad,partial
T111.csv,EL,Altantic,42622,21,20.50793651,0.448544917,23.69047619,1.123345344,26.5,18.52380952,0.872871561,17.5,5.166666667,1.622754859,,143,N10› 18.533' W84› 42.978',811,ambient,open
T112.csv,EL,Altantic,42622,21,21.59027778,0.520513791,26.47619048,2.147534578,30,18.85714286,0.963624112,17.5,7.619047619,2.742739333,,147,N10› 18.536' W84› 43.002',812,ambient,open
T112B.csv,SG,Altantic,42622,21,18.68650794,0.382249157,21.11904762,1.011246284,23.5,16.83333333,0.5986095,16,4.285714286,1.260668757,,210,N10› 21.841' W84› 47.399',1251,ambient,partial
T114.csv,EL,Altantic,42622,21,21.05952381,0.443768863,24.85714286,1.295596939,27.5,18.78571429,0.916125381,17.5,6.071428571,1.85933936,,152,N10› 18.536' W84› 42.995',808,ambient,open
T116B.csv,SG,Altantic,42622,21,19.58928571,0.682435349,25.95238095,3.601752219,35,16.92857143,0.618177044,16,9.023809524,3.641689822,,215,N10› 21.826' W84› 47.301',1211,ambient,open
T117B.csv,SG,Altantic,42622,21,19.61706349,0.438959678,22.26190476,0.995226703,24.5,17.76190476,0.583503377,17,4.5,0.974679434,,217,N10› 21.795' W84› 47.289',1220,ambient,open
T119.csv,EL,Altantic,42622,21,21.49702381,0.469341558,26.69047619,2.331717127,33,19.04761905,0.878987513,18,7.642857143,2.806879304,,150,N10› 18.537' W84› 42.999',817,ambient,open
T123.csv,EL,Altantic,42622,21,21.97420635,0.445848168,25.76190476,1.593887132,28.5,19.47619048,0.91482499,18,6.285714286,2.255944528,,146,N10› 18.537' W84› 42.999',811,ambient,open
T129.csv,BR,Pacific,42622,21,16.63095238,0.32039627,18.42857143,0.676123404,20,15.21428571,0.560611911,14.5,3.214285714,1.007117528,,249,N10› 17.547' W84› 46.961',1572,bromeliad,partial
T133.csv,BR,Pacific,42622,21,16.74007937,0.319682667,18.4047619,0.43643578,19,15.47619048,0.580434976,14.5,2.928571429,0.795074121,,238,N10› 17.665' W84› 46.979',1581,ambient,partial
T135.csv,BR,Pacific,42622,21,16.8452381,0.311217607,18.5952381,1.007708386,21.5,15.47619048,0.622016689,14.5,3.119047619,1.368436717,,244,N10› 17.571' W84› 46.983',1583,ambient,partial
T139.csv,BR,Pacific,42622,21,16.87797619,0.320405946,18.38095238,0.47182523,19,15.61904762,0.56799564,14.5,2.761904762,0.83094897,,237,N10› 17.656' W84› 46.974',1591,ambient,partial
T140.csv,BR,Pacific,42622,21,16.98611111,0.331788957,18.5,0.418330013,19,15.73809524,0.624880941,15,2.761904762,0.83094897,,238,N10› 17.665' W84› 46.979',1581,bromeliad,partial
T144.csv,BR,Pacific,42622,21,16.47519841,0.311987013,17.95238095,0.415474485,18.5,15.30952381,0.580434976,14.5,2.642857143,0.823754471,,247,N10› 17.561' W84› 46.969',1574,ambient,partial
T145.csv,BR,Pacific,42622,21,17.24900794,0.329698686,18.61904762,0.44454364,19.5,16.04761905,0.56799564,15,2.571428571,0.810643483,,245,N10› 17.564' W84› 46.976',1579,ambient,partial
T146.csv,RT,Pacific,42622,21,16.91468254,0.317112129,18.61904762,0.630570414,20,15.57142857,0.507092553,15,3.047619048,0.864649668,,270,N10› 18.013' W84› 47.598',1534,ambient,partial
T148.csv,SL,Pacific,42622,21,19.81845238,0.432819349,22.35714286,0.882366947,24,18.21428571,0.681385144,17,4.142857143,1.097074031,,262,N10› 16.914' W84› 47.580',1082,ambient,partial
T151.csv,SL,Pacific,42622,21,19.3640873,0.330628285,21.23809524,0.969781517,24,18.16666667,0.428174419,17.5,3.071428571,1.040260956,,261,N10› 16.918' W84› 47.578',1078,ambient,partial
T154.csv,RT,Pacific,42622,21,17.35714286,0.323305258,19.26190476,0.406787648,20,16.04761905,0.497613352,15,3.214285714,0.767649474,,269,N10› 17.968' W84› 47.604',1515,ambient,open
T158.csv,RT,Pacific,42622,21,17.32142857,0.33180453,19.30952381,0.697785613,20.5,15.83333333,0.5986095,14.5,3.476190476,0.91482499,,265,N10› 18.252' W84› 47.753',1513,ambient,partial
T17.csv,AL,Altantic,42622,21,20.70039683,0.426726283,25.21428571,2.022198238,28.5,18.26190476,0.845858257,17,6.952380952,2.59280139,,NA,,NA,,
T26.csv,EV,Altantic,42622,21,16.78869048,0.35881059,18.4047619,0.46419413,19.5,15.21428571,0.643650304,14,3.19047619,0.858431571,EV3,60,N10› 19.387' W84› 45.990',1607,ambient,closed
T27.csv,EV,Altantic,42622,21,17.06547619,0.23471371,18,0.316227766,18.5,16.19047619,0.432324834,15.5,1.80952381,0.601585208,EV9,67,N10› 19.461' W84› 45.888',1599,bromeliad,closed
T31.csv,SG,Altantic,42622,21,18.9156746,0.407049224,20.85714286,0.550973165,21.5,17.14285714,0.63527272,16,3.714285714,0.69948961,SG13,212,N10› 21.883' W84› 47.252',1190,ambient,partial
T32.csv,SG,Altantic,42622,21,19.76488095,0.405000367,23.02380952,1.030487633,25.5,17.52380952,0.580434976,16.5,5.5,1.21449578,,218,N10› 21.807' W84› 47.285',1228,bromeliad,open
T33.csv,SL,Pacific,42622,21,20.18452381,0.505708975,23.02380952,1.123345344,25,18.54761905,0.630570414,17.5,4.476190476,1.209092537,,254,N10› 16.923' W84› 47.569',1078,ambient,partial
T35.csv,SL,Pacific,42622,21,20.13888889,0.507339078,23.02380952,1.10086546,24.5,18.38095238,0.705421185,17.5,4.642857143,1.256412125,,256,N10› 16.925' W84› 47.563',1077,ambient,partial
T38.csv,SL,Pacific,42622,21,19.66468254,0.474062707,22.4047619,0.98258648,24,18,0.689202438,17,4.404761905,1.12493386,,259,N10› 16.926' W84› 47.578',1080,ambient,partial
T39.csv,AL,Altantic,42622,21,20.43055556,0.36977455,22.80952381,0.954937046,24,18.76190476,0.751981509,17.5,4.047619048,1.359271514,AL2,92,N10› 17.936' W84› 44.901',970,ambient,closed
T44.csv,AL,Altantic,42622,21,20.70337302,0.407658071,24.26190476,1.647870198,27,18.52380952,0.90105758,17,5.738095238,2.177263464,AL11,89,N10› 17.994' W84› 44.841',962,ambient,partial
T48.csv,AL,Altantic,42622,21,21.18849206,0.255620517,22.30952381,0.432324834,23.5,20.23809524,0.538958431,19.5,2.071428571,0.694365075,AL13,85,N10› 17.997' W84› 44.851',967,ambient,open
T53.csv,RT,Pacific,42622,21,17.83928571,0.434770396,20.69047619,0.798063132,21.5,16.04761905,0.705421185,14.5,4.642857143,1.026436276,RT2,94,N10› 18.023' W84› 47.597',1546,bromeliad,partial
T55.csv,AL,Altantic,42622,21,20.66765873,0.396297764,23,0.790569415,24,18.95238095,0.893095206,17.5,4.047619048,1.4309504,AL3,91,N10› 17.941' W84› 44.895',982,bromeliad,partial
T58.csv,RT,Pacific,42622,21,17.22619048,0.319048452,19.5,0.790569415,21,15.69047619,0.486728633,15,3.80952381,1.018285207,,268,N10› 17.760' W84› 47.647',1478,ambient,partial
T59.csv,RT,Pacific,42622,21,17.92460317,0.336925707,21.78571429,2.1364189,27,16.28571429,0.46291005,15.5,5.5,2.32916294,,267,N10› 17.751' W84› 47.653',1473,ambient,open
T64.csv,SL,Pacific,42622,21,19.68253968,0.435506608,21.95238095,0.986214504,24,18.21428571,0.69948961,17,3.738095238,1.168535917,,258,N10› 16.926' W84› 47.577',1076,ambient,partial
T68.csv,RT,Pacific,42622,21,18.22420635,0.290914563,19.69047619,0.460331144,20.5,17.07142857,0.481812056,16,2.619047619,0.74001287,,272,N10› 18.098' W84› 47.660',1529,ambient,partial
T7.csv,EV,Altantic,42622,21,16.75198413,0.360055501,17.95238095,0.44454364,19,15.47619048,0.641798069,14.5,2.476190476,0.887076525,,53,N10› 19.438' W84› 45.928',1593,bromeliad,closed
T8.csv,EV,Altantic,42622,21,16.5734127,0.352484919,17.97619048,0.460331144,19,15.21428571,0.643650304,14,2.761904762,0.903037203,,53,N10› 19.438' W84› 45.928',1593,ambient,closed
T81.csv,PS,Altantic,42622,21,22.48214286,0.54955339,27.42857143,1.776835068,30,19.88095238,0.804747816,18.5,7.547619048,2.108937896,PS4,121,N10› 21.037' W84› 40.058',800,ambient,open
T90.csv,PS,Altantic,42622,21,21.40972222,0.380534012,22.57142857,0.481812056,23.5,20.5,0.547722558,19.5,2.071428571,0.694365075,PS19,140,N10› 21.039' W84› 40.127',771,bromeliad,closed
T92.csv,PS,Altantic,42622,21,21.17956349,0.581189371,24.95238095,1.312485828,27,19.07142857,0.779193722,18,5.880952381,1.515789909,PS10,130,N10› 21.027' W84› 40.040',811,ambient,open
T97.csv,PS,Altantic,42622,21,20.94345238,0.537691457,23.28571429,0.981980506,25.5,19.11904762,0.74001287,18,4.166666667,1.143823996,,116,N10› 21.043' W84› 40.259',766,ambient,open
